time,left,right,total
1690393465.1,0, 0, 0
1690393465.2,0, 0, 0
1690393465.3,0, 0, 0
1690393465.4,0, 0, 0
1690393465.5,0, 0, 0
1690393465.6,0, 0, 0
1690393465.7,0, 0, 0
1690393465.8,0, 0, 0
1690393465.9,0, 0, 0
1690393466.0,0, 0, 0
1690393466.1,0, 0, 0
1690393466.2,0, 0, 0
1690393466.3,0, 0, 0
1690393466.4,0, 0, 0
1690393466.5,0, 0, 0
1690393466.6,0, 0, 0
1690393466.7,0, 1, 1
1690393466.8,0, 1, 1
1690393466.9,0, 1, 1
1690393467.0,0, 1, 1
1690393467.1,0, 1, 1
1690393467.2,0, 1, 1
1690393467.3,0, 1, 1
1690393467.4,0, 1, 1
1690393467.5,0, 1, 1
1690393467.6,0, 1, 1
1690393467.7,0, 1, 1
1690393467.8,0, 1, 1
1690393467.9,0, 1, 1
1690393468.0,0, 1, 1
1690393468.1,0, 1, 1
1690393468.2,0, 1, 1
1690393468.3,0, 1, 1
1690393468.4,0, 1, 1
1690393468.5,0, 1, 1
1690393468.6,0, 1, 1
1690393468.7,0, 1, 1
1690393468.8,0, 1, 1
1690393468.9,0, 1, 1
1690393469.0,0, 1, 1
1690393469.1,0, 1, 1
1690393469.2,0, 1, 1
1690393469.3,0, 1, 1
1690393469.4,0, 1, 1
1690393469.5,0, 1, 1
1690393469.6,0, 1, 1
1690393469.7,0, 1, 1
1690393469.8,0, 1, 1
1690393469.9,0, 1, 1
1690393470.0,0, 1, 1
1690393470.1,0, 1, 1
1690393470.2,0, 1, 1
1690393470.3,0, 1, 1
1690393470.4,0, 1, 1
1690393470.5,0, 1, 1
1690393470.6,0, 1, 1
1690393470.7,0, 1, 1
1690393470.8,0, 1, 1
1690393470.9,0, 1, 1
1690393471.0,0, 1, 1
1690393471.1,0, 1, 1
1690393471.2,0, 1, 1
1690393471.3,0, 1, 1
1690393471.4,0, 1, 1
1690393471.5,0, 1, 1
1690393471.6,0, 1, 1
1690393471.7,0, 1, 1
1690393471.8,0, 1, 1
1690393471.9,0, 1, 1
1690393472.0,0, 1, 1
1690393472.1,0, 1, 1
1690393472.2,0, 1, 1
1690393472.3,0, 1, 1
1690393472.4,0, 1, 1
1690393472.5,0, 1, 1
1690393472.6,0, 1, 1
1690393472.7,0, 1, 1
1690393472.8,0, 1, 1
1690393472.9,0, 1, 1
1690393473.0,0, 1, 1
1690393473.1,0, 1, 1
1690393473.2,0, 1, 1
1690393473.3,0, 1, 1
1690393473.4,0, 1, 1
1690393473.5,0, 1, 1
1690393473.6,0, 1, 1
1690393473.7,0, 1, 1
1690393473.8,0, 1, 1
1690393473.9,0, 1, 1
1690393474.0,0, 1, 1
1690393474.1,0, 1, 1
1690393474.2,0, 1, 1
1690393474.3,0, 1, 1
1690393474.4,0, 1, 1
1690393474.5,0, 1, 1
1690393474.6,0, 1, 1
1690393474.7,0, 1, 1
1690393474.8,0, 1, 1
1690393474.9,0, 1, 1
1690393475.0,0, 1, 1
1690393475.1,0, 1, 1
1690393475.2,0, 1, 1
1690393475.3,0, 1, 1
1690393475.4,0, 1, 1
1690393475.5,0, 1, 1
1690393475.6,0, 1, 1
1690393475.7,0, 1, 1
1690393475.8,0, 1, 1
1690393475.9,0, 1, 1
1690393476.0,0, 1, 1
1690393476.1,0, 1, 1
1690393476.2,0, 1, 1
1690393476.3,0, 1, 1
1690393476.4,0, 1, 1
1690393476.5,0, 1, 1
1690393476.6,0, 1, 1
1690393476.7,0, 1, 1
1690393476.8,0, 1, 1
1690393476.9,0, 1, 1
1690393477.0,0, 1, 1
1690393477.1,0, 1, 1
1690393477.2,0, 1, 1
1690393477.3,0, 1, 1
1690393477.4,0, 1, 1
1690393477.5,0, 1, 1
1690393477.6,0, 1, 1
1690393477.7,0, 1, 1
1690393477.8,0, 1, 1
1690393477.9,0, 1, 1
1690393478.0,0, 1, 1
1690393478.1,0, 1, 1
1690393478.2,0, 1, 1
1690393478.3,0, 1, 1
1690393478.4,0, 1, 1
1690393478.5,0, 1, 1
1690393478.6,0, 1, 1
1690393478.7,0, 1, 1
1690393478.8,0, 1, 1
1690393478.9,0, 1, 1
1690393479.0,0, 1, 1
1690393479.1,0, 1, 1
1690393479.2,0, 1, 1
1690393479.3,0, 1, 1
1690393479.4,0, 1, 1
1690393479.5,0, 1, 1
1690393479.6,0, 1, 1
1690393479.7,0, 1, 1
1690393479.8,0, 1, 1
1690393479.9,0, 1, 1
1690393480.0,0, 1, 1
1690393480.1,0, 1, 1
1690393480.2,0, 1, 1
1690393480.3,0, 1, 1
1690393480.4,0, 1, 1
1690393480.5,0, 1, 1
1690393480.6,0, 1, 1
1690393480.7,0, 1, 1
1690393480.8,0, 1, 1
1690393480.9,0, 1, 1
1690393481.0,0, 1, 1
1690393481.1,0, 1, 1
1690393481.2,0, 1, 1
1690393481.3,0, 1, 1
1690393481.4,0, 1, 1
1690393481.5,0, 1, 1
1690393481.6,0, 1, 1
1690393481.7,0, 1, 1
1690393481.8,0, 1, 1
1690393481.9,0, 1, 1
1690393482.0,0, 1, 1
1690393482.1,0, 1, 1
1690393482.2,0, 1, 1
1690393482.3,0, 1, 1
1690393482.4,0, 1, 1
1690393482.5,0, 1, 1
1690393482.6,0, 1, 1
1690393482.7,0, 1, 1
1690393482.8,0, 1, 1
1690393482.9,0, 1, 1
1690393483.0,0, 1, 1
1690393483.1,0, 1, 1
1690393483.2,0, 1, 1
1690393483.3,0, 1, 1
1690393483.4,0, 1, 1
1690393483.5,0, 1, 1
1690393483.6,0, 1, 1
1690393483.7,0, 1, 1
1690393483.8,0, 1, 1
1690393483.9,0, 1, 1
1690393484.0,0, 1, 1
1690393484.1,0, 1, 1
1690393484.2,0, 1, 1
1690393484.3,0, 1, 1
1690393484.4,0, 1, 1
1690393484.5,0, 1, 1
1690393484.6,0, 1, 1
1690393484.7,0, 1, 1
1690393484.8,0, 1, 1
1690393484.9,0, 1, 1
1690393485.0,0, 1, 1
1690393485.1,0, 1, 1
1690393485.2,0, 1, 1
1690393485.3,0, 1, 1
1690393485.4,0, 1, 1
1690393485.5,0, 1, 1
1690393485.6,0, 0, 0
1690393485.7,0, 0, 0
1690393485.8,0, 0, 0
1690393485.9,0, 0, 0
1690393486.0,0, 0, 0
1690393486.1,0, 0, 0
1690393486.2,0, 0, 0
1690393486.3,0, 0, 0
1690393486.4,0, 0, 0
1690393486.5,0, 0, 0
1690393486.6,0, 0, 0
1690393486.7,0, 0, 0
1690393486.8,0, 0, 0
1690393486.9,0, 0, 0
1690393487.0,0, 0, 0
1690393487.1,0, 0, 0
1690393487.2,0, 0, 0
1690393487.3,0, 0, 0
1690393487.4,0, 0, 0
1690393487.5,0, 0, 0
1690393487.6,0, 0, 0
1690393487.7,0, 0, 0
1690393487.8,0, 0, 0
1690393487.9,0, 0, 0
1690393488.0,0, 0, 0
1690393488.1,0, 0, 0
1690393488.2,0, 0, 0
1690393488.3,0, 0, 0
1690393488.4,0, 0, 0
1690393488.5,0, 0, 0
1690393488.6,0, 0, 0
1690393488.7,0, 0, 0
1690393488.8,0, 0, 0
1690393488.9,0, 0, 0
1690393489.0,0, 0, 0
1690393489.1,0, 0, 0
1690393489.2,0, 0, 0
1690393489.3,0, 0, 0
1690393489.4,0, 0, 0
1690393489.5,0, 0, 0
1690393489.6,0, 0, 0
1690393489.7,0, 0, 0
1690393489.8,0, 0, 0
1690393489.9,0, 0, 0
1690393490.0,0, 0, 0
1690393490.1,0, 0, 0
1690393490.2,0, 0, 0
1690393490.3,0, 0, 0
1690393490.4,0, 0, 0
1690393490.5,0, 0, 0
1690393490.6,0, 0, 0
1690393490.7,0, 0, 0
1690393490.8,0, 0, 0
1690393490.9,0, 0, 0
1690393491.0,0, 0, 0
1690393491.1,0, 0, 0
1690393491.2,0, 0, 0
1690393491.3,0, 0, 0
1690393491.4,0, 0, 0
1690393491.5,0, 0, 0
1690393491.6,0, 0, 0
1690393491.7,0, 0, 0
1690393491.8,0, 0, 0
1690393491.9,0, 0, 0
1690393492.0,0, 0, 0
1690393492.1,0, 0, 0
1690393492.2,0, 0, 0
1690393492.3,0, 0, 0
1690393492.4,0, 0, 0
1690393492.5,0, 0, 0
1690393492.6,0, 0, 0
1690393492.7,0, 0, 0
1690393492.8,0, 0, 0
1690393492.9,0, 0, 0
1690393493.0,0, 0, 0
1690393493.1,0, 0, 0
1690393493.2,0, 0, 0
1690393493.3,0, 0, 0
1690393493.4,0, 0, 0
1690393493.5,0, 0, 0
1690393493.6,0, 0, 0
1690393493.7,0, 0, 0
1690393493.8,0, 0, 0
1690393493.9,0, 0, 0
1690393494.0,0, 0, 0
1690393494.1,0, 0, 0
1690393494.2,0, 0, 0
1690393494.3,0, 0, 0
1690393494.4,0, 0, 0
1690393494.5,0, 0, 0
1690393494.6,1, 0, 1
1690393494.7,1, 0, 1
1690393494.8,1, 0, 1
1690393494.9,1, 0, 1
1690393495.0,1, 0, 1
1690393495.1,1, 0, 1
1690393495.2,1, 0, 1
1690393495.3,0, 0, 0
1690393495.4,0, 0, 0
1690393495.5,0, 0, 0
1690393495.6,0, 0, 0
1690393495.7,0, 0, 0
1690393495.8,0, 0, 0
1690393495.9,0, 0, 0
1690393496.0,0, 0, 0
1690393496.1,0, 0, 0
1690393496.2,0, 0, 0
1690393496.3,0, 0, 0
1690393496.4,0, 0, 0
1690393496.5,0, 0, 0
1690393496.6,0, 0, 0
1690393496.7,0, 0, 0
1690393496.8,0, 0, 0
1690393496.9,0, 0, 0
1690393497.0,0, 0, 0
1690393497.1,0, 0, 0
1690393497.2,0, 0, 0
1690393497.3,0, 0, 0
1690393497.4,0, 0, 0
1690393497.5,0, 0, 0
1690393497.6,0, 0, 0
1690393497.7,0, 0, 0
1690393497.8,0, 0, 0
1690393497.9,0, 0, 0
1690393498.0,0, 0, 0
1690393498.1,0, 0, 0
1690393498.2,0, 0, 0
1690393498.3,0, 0, 0
1690393498.4,0, 0, 0
1690393498.5,0, 0, 0
1690393498.6,0, 0, 0
1690393498.7,0, 0, 0
1690393498.8,0, 0, 0
1690393498.9,0, 0, 0
1690393499.0,0, 0, 0
1690393499.1,0, 0, 0
1690393499.2,0, 0, 0
1690393499.3,0, 0, 0
1690393499.4,0, 0, 0
1690393499.5,0, 0, 0
1690393499.6,1, 0, 1
1690393499.7,1, 0, 1
1690393499.8,1, 0, 1
1690393499.9,1, 0, 1
1690393500.0,1, 0, 1
1690393500.1,1, 0, 1
1690393500.2,1, 0, 1
1690393500.3,1, 0, 1
1690393500.4,0, 0, 0
1690393500.5,0, 0, 0
1690393500.6,0, 0, 0
1690393500.7,0, 0, 0
1690393500.8,0, 0, 0
1690393500.9,0, 0, 0
1690393501.0,0, 0, 0
1690393501.1,0, 0, 0
1690393501.2,0, 0, 0
1690393501.3,0, 0, 0
1690393501.4,0, 0, 0
1690393501.5,0, 0, 0
1690393501.6,0, 0, 0
1690393501.7,0, 0, 0
1690393501.8,0, 0, 0
1690393501.9,0, 0, 0
1690393502.0,0, 0, 0
1690393502.1,0, 0, 0
1690393502.2,0, 0, 0
1690393502.3,0, 0, 0
1690393502.4,0, 0, 0
1690393502.5,0, 0, 0
1690393502.6,0, 0, 0
1690393502.7,0, 0, 0
1690393502.8,0, 0, 0
1690393502.9,0, 0, 0
1690393503.0,0, 0, 0
1690393503.1,0, 0, 0
1690393503.2,0, 0, 0
1690393503.3,0, 0, 0
1690393503.4,0, 0, 0
1690393503.5,0, 0, 0
1690393503.6,0, 0, 0
1690393503.7,0, 0, 0
1690393503.8,0, 0, 0
1690393503.9,0, 0, 0
1690393504.0,0, 0, 0
1690393504.1,0, 0, 0
1690393504.2,0, 0, 0
1690393504.3,0, 0, 0
1690393504.4,0, 0, 0
1690393504.5,0, 0, 0
1690393504.6,0, 0, 0
1690393504.7,0, 0, 0
1690393504.8,0, 0, 0
1690393504.9,0, 0, 0
1690393505.0,0, 0, 0
1690393505.1,0, 0, 0
1690393505.2,0, 0, 0
1690393505.3,0, 0, 0
1690393505.4,0, 0, 0
1690393505.5,0, 0, 0
1690393505.6,0, 0, 0
1690393505.7,0, 0, 0
1690393505.8,0, 0, 0
1690393505.9,0, 0, 0
1690393506.0,0, 0, 0
1690393506.1,0, 0, 0
1690393506.2,0, 0, 0
1690393506.3,0, 0, 0
1690393506.4,0, 0, 0
1690393506.5,0, 0, 0
1690393506.6,0, 0, 0
1690393506.7,0, 0, 0
1690393506.8,0, 0, 0
1690393506.9,0, 0, 0
1690393507.0,0, 0, 0
1690393507.1,0, 0, 0
1690393507.2,0, 0, 0
1690393507.3,0, 0, 0
1690393507.4,0, 0, 0
1690393507.5,0, 0, 0
1690393507.6,0, 0, 0
1690393507.7,0, 0, 0
1690393507.8,0, 0, 0
1690393507.9,0, 0, 0
1690393508.0,0, 0, 0
1690393508.1,0, 0, 0
1690393508.2,0, 0, 0
1690393508.3,0, 0, 0
1690393508.4,0, 0, 0
1690393508.5,0, 0, 0
1690393508.6,0, 0, 0
1690393508.7,0, 0, 0
1690393508.8,0, 0, 0
1690393508.9,0, 0, 0
1690393509.0,0, 0, 0
1690393509.1,0, 0, 0
1690393509.2,0, 0, 0
1690393509.3,0, 0, 0
1690393509.4,0, 0, 0
1690393509.5,0, 0, 0
1690393509.6,0, 0, 0
1690393509.7,0, 0, 0
1690393509.8,0, 0, 0
1690393509.9,0, 0, 0
1690393510.0,0, 0, 0
1690393510.1,0, 0, 0
1690393510.2,0, 0, 0
1690393510.3,0, 0, 0
1690393510.4,0, 0, 0
1690393510.5,0, 0, 0
