time,left,right,total
1690394942.1,0, 0, 0
1690394942.2,0, 0, 0
1690394942.3,0, 0, 0
1690394942.4,0, 0, 0
1690394942.5,0, 0, 0
1690394942.6,0, 0, 0
1690394942.7,0, 0, 0
1690394942.8,0, 0, 0
1690394942.9,0, 0, 0
1690394943.0,0, 0, 0
1690394943.1,0, 0, 0
1690394943.2,0, 0, 0
1690394943.3,0, 0, 0
1690394943.4,0, 0, 0
1690394943.5,0, 0, 0
1690394943.6,0, 0, 0
1690394943.7,0, 0, 0
1690394943.8,0, 0, 0
1690394943.9,0, 0, 0
1690394944.0,0, 0, 0
1690394944.1,0, 0, 0
1690394944.2,0, 0, 0
1690394944.3,0, 0, 0
1690394944.4,0, 0, 0
1690394944.5,0, 0, 0
1690394944.6,0, 0, 0
1690394944.7,0, 0, 0
1690394944.8,0, 0, 0
1690394944.9,0, 0, 0
1690394945.0,0, 0, 0
1690394945.1,0, 0, 0
1690394945.2,0, 0, 0
1690394945.3,0, 0, 0
1690394945.4,0, 0, 0
1690394945.5,0, 0, 0
1690394945.6,0, 0, 0
1690394945.7,0, 0, 0
1690394945.8,0, 0, 0
1690394945.9,0, 0, 0
1690394946.0,0, 0, 0
1690394946.1,0, 0, 0
1690394946.2,0, 0, 0
1690394946.3,0, 0, 0
1690394946.4,0, 0, 0
1690394946.5,0, 0, 0
1690394946.6,0, 0, 0
1690394946.7,0, 0, 0
1690394946.8,0, 0, 0
1690394946.9,0, 0, 0
1690394947.0,0, 0, 0
1690394947.1,0, 0, 0
1690394947.2,0, 0, 0
1690394947.3,0, 0, 0
1690394947.4,0, 0, 0
1690394947.5,0, 0, 0
1690394947.6,0, 0, 0
1690394947.7,0, 0, 0
1690394947.8,0, 0, 0
1690394947.9,0, 0, 0
1690394948.0,0, 0, 0
1690394948.1,0, 0, 0
1690394948.2,0, 0, 0
1690394948.3,0, 0, 0
1690394948.4,0, 0, 0
1690394948.5,0, 0, 0
1690394948.6,0, 0, 0
1690394948.7,0, 0, 0
1690394948.8,0, 0, 0
1690394948.9,0, 0, 0
1690394949.0,0, 0, 0
1690394949.1,0, 0, 0
1690394949.2,0, 0, 0
1690394949.3,0, 0, 0
1690394949.4,0, 0, 0
1690394949.5,0, 0, 0
1690394949.6,0, 0, 0
1690394949.7,0, 0, 0
1690394949.8,0, 0, 0
1690394949.9,0, 0, 0
1690394950.0,0, 0, 0
1690394950.1,0, 0, 0
1690394950.2,0, 0, 0
1690394950.3,0, 0, 0
1690394950.4,0, 0, 0
1690394950.5,0, 0, 0
1690394950.6,0, 0, 0
1690394950.7,0, 0, 0
1690394950.8,0, 0, 0
1690394950.9,0, 0, 0
1690394951.0,0, 0, 0
1690394951.1,0, 0, 0
1690394951.2,0, 0, 0
1690394951.3,0, 0, 0
1690394951.4,0, 0, 0
1690394951.5,0, 0, 0
1690394951.6,0, 0, 0
1690394951.7,0, 0, 0
1690394951.8,0, 0, 0
1690394951.9,0, 0, 0
1690394952.0,0, 0, 0
1690394952.1,0, 0, 0
1690394952.2,0, 0, 0
1690394952.3,0, 0, 0
1690394952.4,0, 0, 0
1690394952.5,0, 0, 0
1690394952.6,0, 0, 0
1690394952.7,0, 0, 0
1690394952.8,0, 0, 0
1690394952.9,0, 0, 0
1690394953.0,0, 0, 0
1690394953.1,0, 0, 0
1690394953.2,0, 1, 1
1690394953.3,0, 1, 1
1690394953.4,0, 1, 1
1690394953.5,0, 1, 1
1690394953.6,0, 1, 1
1690394953.7,0, 1, 1
1690394953.8,0, 0, 0
1690394953.9,0, 0, 0
1690394954.0,0, 0, 0
1690394954.1,0, 0, 0
1690394954.2,0, 0, 0
1690394954.3,0, 0, 0
1690394954.4,0, 0, 0
1690394954.5,0, 0, 0
1690394954.6,0, 0, 0
1690394954.7,0, 0, 0
1690394954.8,0, 0, 0
1690394954.9,0, 0, 0
1690394955.0,0, 0, 0
1690394955.1,0, 0, 0
1690394955.2,0, 0, 0
1690394955.3,0, 0, 0
1690394955.4,0, 0, 0
1690394955.5,0, 0, 0
1690394955.6,0, 0, 0
1690394955.7,0, 0, 0
1690394955.8,0, 0, 0
1690394955.9,0, 0, 0
1690394956.0,0, 0, 0
1690394956.1,0, 0, 0
1690394956.2,1, 0, 1
1690394956.3,0, 0, 0
1690394956.4,0, 0, 0
1690394956.5,0, 0, 0
1690394956.6,0, 0, 0
1690394956.7,0, 0, 0
1690394956.8,0, 0, 0
1690394956.9,0, 0, 0
1690394957.0,0, 0, 0
1690394957.1,0, 0, 0
1690394957.2,0, 0, 0
1690394957.3,0, 0, 0
1690394957.4,0, 0, 0
1690394957.5,0, 0, 0
1690394957.6,0, 0, 0
1690394957.7,1, 0, 1
1690394957.8,0, 0, 0
1690394957.9,0, 0, 0
1690394958.0,0, 0, 0
1690394958.1,0, 0, 0
1690394958.2,0, 0, 0
1690394958.3,0, 0, 0
1690394958.4,0, 0, 0
1690394958.5,1, 0, 1
1690394958.6,0, 0, 0
1690394958.7,1, 0, 1
1690394958.8,1, 0, 1
1690394958.9,1, 0, 1
1690394959.0,2, 0, 2
1690394959.1,2, 0, 2
1690394959.2,1, 0, 1
1690394959.3,0, 0, 0
1690394959.4,1, 0, 1
1690394959.5,1, 0, 1
1690394959.6,1, 0, 1
1690394959.7,1, 0, 1
1690394959.8,0, 0, 0
1690394959.9,1, 0, 1
1690394960.0,0, 0, 0
1690394960.1,1, 0, 1
1690394960.2,0, 0, 0
1690394960.3,0, 0, 0
1690394960.4,0, 0, 0
1690394960.5,0, 0, 0
1690394960.6,0, 0, 0
1690394960.7,0, 0, 0
1690394960.8,0, 0, 0
1690394960.9,0, 0, 0
1690394961.0,0, 0, 0
1690394961.1,0, 0, 0
1690394961.2,0, 0, 0
1690394961.3,0, 0, 0
1690394961.4,0, 0, 0
1690394961.5,0, 0, 0
1690394961.6,0, 0, 0
1690394961.7,0, 0, 0
1690394961.8,0, 0, 0
1690394961.9,0, 0, 0
1690394962.0,0, 0, 0
1690394962.1,0, 0, 0
1690394962.2,0, 0, 0
