time,left,right,total
1689369626.1,0, 0, 0
1689369626.2,0, 0, 0
1689369626.3,0, 0, 0
1689369626.4,0, 0, 0
1689369626.5,0, 0, 0
1689369626.6,0, 0, 0
1689369626.7,0, 0, 0
1689369626.8,0, 1, 1
1689369626.9,0, 1, 1
1689369627.0,0, 1, 1
1689369627.1,0, 1, 1
1689369627.2,0, 1, 1
1689369627.3,0, 1, 1
1689369627.4,0, 1, 1
1689369627.5,0, 1, 1
1689369627.6,0, 1, 1
1689369627.7,0, 1, 1
1689369627.8,0, 1, 1
1689369627.9,0, 1, 1
1689369628.0,0, 1, 1
1689369628.1,0, 1, 1
1689369628.2,0, 1, 1
1689369628.3,0, 1, 1
1689369628.4,0, 1, 1
1689369628.5,0, 1, 1
1689369628.6,0, 1, 1
1689369628.7,0, 1, 1
1689369628.8,0, 1, 1
1689369628.9,0, 1, 1
1689369629.0,0, 1, 1
1689369629.1,0, 1, 1
1689369629.2,0, 0, 0
1689369629.3,0, 0, 0
1689369629.4,0, 0, 0
1689369629.5,0, 0, 0
1689369629.6,0, 0, 0
1689369629.7,0, 0, 0
1689369629.8,0, 0, 0
1689369629.9,0, 0, 0
1689369630.0,0, 0, 0
1689369630.1,0, 0, 0
1689369630.2,0, 0, 0
1689369630.3,0, 0, 0
1689369630.4,0, 0, 0
1689369630.5,0, 0, 0
1689369630.6,0, 0, 0
1689369630.7,0, 0, 0
1689369630.8,0, 0, 0
1689369630.9,0, 0, 0
1689369631.0,0, 0, 0
1689369631.1,0, 0, 0
1689369631.2,0, 0, 0
1689369631.3,0, 0, 0
1689369631.4,0, 0, 0
1689369631.5,0, 0, 0
1689369631.6,0, 0, 0
1689369631.7,0, 0, 0
1689369631.8,0, 0, 0
1689369631.9,0, 0, 0
1689369632.0,0, 0, 0
1689369632.1,0, 0, 0
1689369632.2,0, 0, 0
1689369632.3,0, 0, 0
1689369632.4,0, 0, 0
1689369632.5,0, 0, 0
1689369632.6,0, 0, 0
1689369632.7,0, 0, 0
1689369632.8,0, 0, 0
1689369632.9,0, 0, 0
1689369633.0,0, 0, 0
1689369633.1,0, 0, 0
1689369633.2,0, 0, 0
1689369633.3,0, 0, 0
1689369633.4,0, 0, 0
1689369633.5,0, 0, 0
1689369633.6,0, 0, 0
1689369633.7,0, 0, 0
1689369633.8,0, 0, 0
1689369633.9,0, 0, 0
1689369634.0,0, 0, 0
1689369634.1,0, 0, 0
1689369634.2,0, 0, 0
1689369634.3,0, 0, 0
1689369634.4,0, 0, 0
1689369634.5,0, 0, 0
1689369634.6,0, 0, 0
1689369634.7,0, 0, 0
1689369634.8,0, 0, 0
1689369634.9,0, 0, 0
1689369635.0,0, 0, 0
1689369635.1,0, 0, 0
1689369635.2,0, 0, 0
1689369635.3,0, 0, 0
1689369635.4,0, 0, 0
1689369635.5,0, 0, 0
1689369635.6,0, 0, 0
1689369635.7,0, 0, 0
1689369635.8,0, 0, 0
1689369635.9,0, 0, 0
1689369636.0,0, 0, 0
1689369636.1,0, 0, 0
1689369636.2,0, 0, 0
1689369636.3,0, 0, 0
1689369636.4,0, 0, 0
1689369636.5,0, 0, 0
1689369636.6,0, 0, 0
1689369636.7,0, 0, 0
1689369636.8,0, 0, 0
1689369636.9,0, 0, 0
1689369637.0,0, 0, 0
1689369637.1,0, 0, 0
1689369637.2,0, 0, 0
1689369637.3,0, 0, 0
1689369637.4,0, 0, 0
1689369637.5,0, 0, 0
1689369637.6,0, 0, 0
1689369637.7,0, 0, 0
1689369637.8,0, 0, 0
1689369637.9,0, 0, 0
1689369638.0,0, 0, 0
1689369638.1,0, 0, 0
1689369638.2,0, 0, 0
1689369638.3,0, 0, 0
1689369638.4,0, 0, 0
1689369638.5,0, 0, 0
1689369638.6,0, 0, 0
1689369638.7,0, 0, 0
1689369638.8,0, 0, 0
1689369638.9,0, 0, 0
1689369639.0,0, 0, 0
1689369639.1,0, 0, 0
1689369639.2,0, 0, 0
1689369639.3,0, 0, 0
1689369639.4,0, 0, 0
1689369639.5,0, 0, 0
1689369639.6,0, 0, 0
1689369639.7,0, 0, 0
1689369639.8,0, 0, 0
1689369639.9,0, 0, 0
1689369640.0,0, 0, 0
1689369640.1,0, 0, 0
1689369640.2,0, 0, 0
1689369640.3,0, 0, 0
1689369640.4,0, 0, 0
1689369640.5,0, 0, 0
1689369640.6,0, 0, 0
1689369640.7,0, 0, 0
1689369640.8,0, 0, 0
1689369640.9,0, 0, 0
1689369641.0,0, 0, 0
1689369641.1,0, 0, 0
1689369641.2,0, 0, 0
1689369641.3,0, 0, 0
1689369641.4,0, 0, 0
1689369641.5,0, 0, 0
1689369641.6,0, 0, 0
1689369641.7,0, 0, 0
1689369641.8,0, 0, 0
1689369641.9,0, 0, 0
1689369642.0,0, 0, 0
1689369642.1,0, 0, 0
1689369642.2,0, 0, 0
1689369642.3,0, 0, 0
1689369642.4,0, 0, 0
1689369642.5,0, 0, 0
1689369642.6,0, 0, 0
1689369642.7,0, 0, 0
1689369642.8,0, 0, 0
1689369642.9,0, 0, 0
1689369643.0,0, 0, 0
1689369643.1,0, 0, 0
1689369643.2,0, 0, 0
1689369643.3,0, 0, 0
1689369643.4,0, 0, 0
1689369643.5,0, 0, 0
1689369643.6,0, 0, 0
1689369643.7,0, 0, 0
1689369643.8,0, 0, 0
1689369643.9,0, 0, 0
1689369644.0,0, 0, 0
1689369644.1,0, 0, 0
1689369644.2,0, 0, 0
1689369644.3,0, 0, 0
1689369644.4,0, 0, 0
1689369644.5,0, 0, 0
1689369644.6,0, 0, 0
1689369644.7,0, 0, 0
1689369644.8,0, 0, 0
1689369644.9,0, 0, 0
1689369645.0,0, 0, 0
1689369645.1,0, 0, 0
1689369645.2,0, 0, 0
1689369645.3,0, 0, 0
